Mission,Type,Variable,Seasonality_Strength,Seasonal_Amplitude_P95_P05
RR-6,radiation,Accumulated_Dose_mGy_d,0.9983958123406528,0.252225877203666
RR-1,radiation,Accumulated_Dose_mGy_d,0.9983826405189244,0.1854095214728953
RR-12,radiation,Accumulated_Dose_mGy_d,0.9970163219463322,0.3245736566426753
RR-19,radiation,Accumulated_Dose_mGy_d,0.996714705941521,0.3239064386036495
RR-3,radiation,Accumulated_Dose_mGy_d,0.9958269650366128,0.2060309182773806
RR-9,radiation,Accumulated_Dose_mGy_d,0.9720617076548568,0.2918741167480792
RR-3,telemetry,Temp_degC_ISS,0.6599926331709456,1.7051381739146914
RR-19,telemetry,CO2_ppm_ISS,0.6171510359137965,609.0272419112785
RR-12,telemetry,CO2_ppm_ISS,0.5352073345184003,631.2283305397441
RR-6,telemetry,CO2_ppm_ISS,0.5061153409908952,596.0541392300092
RR-3,telemetry,CO2_ppm_ISS,0.4316394265347427,775.6141714286998
RR-1,telemetry,CO2_ppm_ISS,0.3128126369855259,436.239448676262
RR-6,radiation,GCR_Dose_mGy_d,0.2873947850855807,0.006020359440457
RR-9,telemetry,CO2_ppm_ISS,0.258213243583522,356.92978039714353
RR-19,telemetry,Temp_degC_ISS,0.1983326364462986,0.5786137206936418
