Mission,Source,Target,Lag,qvalue,MinusLog10_q
RR-3,SAA_Dose_mGy_d,Total_Dose_mGy_d,12,1.9926011786572257e-82,81.70057961712538
RR-19,RH_percent_ISS,Temp_degC_ISS,12,2.6314932669374283e-76,75.57979773685159
RR-19,Temp_degC_ISS,RH_percent_ISS,12,1.2225965404977202e-72,71.91271683743948
RR-3,RH_percent_ISS,Temp_degC_ISS,12,1.172527630957082e-56,55.93087691421561
RR-3,Temp_degC_ISS,RH_percent_ISS,12,2.894815101619688e-45,44.538379170420384
RR-19,Total_Dose_mGy_d,SAA_Dose_mGy_d,12,7.917513763133345e-44,43.10141117301476
RR-1,RH_percent_ISS,Temp_degC_ISS,9,1.121767593052086e-43,42.950097110557515
RR-12,RH_percent_ISS,SAA_Dose_mGy_d,12,2.73193122641325e-37,36.563530237774245
RR-12,Temp_degC_ISS,RH_percent_ISS,12,1.2666249476941775e-30,29.897351962274897
RR-12,RH_percent_ISS,Total_Dose_mGy_d,12,6.786335175299127e-29,28.16836469447161
RR-19,Accumulated_Dose_mGy_d,SAA_Dose_mGy_d,12,1.080420121628341e-24,23.966407336155463
RR-19,Accumulated_Dose_mGy_d,Total_Dose_mGy_d,12,9.726989917527285e-24,23.012021534290504
RR-19,Total_Dose_mGy_d,Accumulated_Dose_mGy_d,12,9.750114162454605e-23,22.010990299190304
RR-19,GCR_Dose_mGy_d,SAA_Dose_mGy_d,12,7.669814549070961e-21,20.115215136870948
RR-3,Total_Dose_mGy_d,SAA_Dose_mGy_d,12,5.0231729085380185e-20,19.299021872222397
RR-12,RH_percent_ISS,Accumulated_Dose_mGy_d,12,2.744464137666266e-19,18.56154243983788
RR-19,SAA_Dose_mGy_d,Total_Dose_mGy_d,12,6.036908148622005e-18,17.21918543187389
RR-3,GCR_Dose_mGy_d,Accumulated_Dose_mGy_d,12,7.556541000625471e-17,16.121676956894255
RR-1,RH_percent_ISS,CO2_ppm_ISS,9,5.517299921829059e-12,11.258273407041903
RR-6,Accumulated_Dose_mGy_d,RH_percent_ISS,7,8.480647608537319e-11,10.071570982404223
